Dataset,Algorithm,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
adult,FairBalanceClass,R3: 54 (1),R3: 73 (1),R2: 18 (0),R0: 1 (5),R0: 2 (5),R3: 8 (4),R1: 1 (1),R0: 1 (2),R1: 6 (2)
german,Reweighing: sex,R3: 12 (12),R0: 69 (3),R0: 0 (0),R1: 6 (11),R1: 7 (14),R1: 5 (10),R3: 20 (24),R2: 20 (29),R3: 20 (23)
german,Reweighing: age,R4: 4 (6),R0: 69 (2),R0: 0 (0),R1: 1 (3),R1: 3 (4),R1: 1 (3),R1: 1 (2),R1: 2 (4),R0: 0 (1)
german,Reweighing-Multiple,R4: 2 (5),R0: 69 (2),R2: 0 (0),R0: 0 (1),R0: 0 (0),R0: 0 (0),R1: 0 (1),R0: 1 (3),R0: 0 (1)
german,Fair-SMOTE: sex,R0: 50 (5),R1: 62 (2),R6: 103 (25),R1: 5 (9),R1: 6 (13),R2: 5 (8),R3: 14 (11),R2: 13 (16),R2: 18 (10)
german,Fair-SMOTE: age,R1: 50 (5),R1: 60 (3),R7: 123 (24),R1: 5 (8),R1: 6 (12),R2: 4 (10),R2: 8 (12),R1: 8 (15),R1: 10 (13)
german,Fair-SMOTE-Multiple,R1: 49 (5),R1: 61 (3),R7: 121 (5),R1: 5 (7),R1: 7 (10),R2: 6 (10),R2: 10 (13),R1: 11 (18),R1: 11 (13)
german,AdversialDebiasing: sex,R2: 28 (19),R0: 68 (8),R5: 67 (1),R3: 33 (80),R3: 48 (107),R3: 31 (66),R3: 23 (35),R3: 29 (54),R3: 22 (30)
german,AdversialDebiasing: age,R2: 35 (14),R1: 63 (34),R5: 68 (0),R2: 20 (38),R2: 25 (49),R2: 18 (37),R4: 73 (144),R4: 77 (148),R3: 73 (143)
german,RejectOptionClassification: sex,R0: 53 (4),R1: 60 (2),R8: 272 (10),R1: 3 (6),R1: 4 (10),R2: 6 (6),R3: 16 (14),R2: 14 (16),R3: 22 (9)
german,RejectOptionClassification: age,R1: 49 (4),R1: 58 (4),R8: 268 (3),R2: 7 (9),R1: 5 (8),R2: 8 (7),R2: 6 (9),R1: 6 (11),R1: 8 (12)
german,FERMI30K,R5: 0 (0),R0: 69 (2),R4: 32 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0)
german,FERMI10K,R5: 0 (0),R0: 69 (3),R3: 31 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0),R0: 0 (0)
german,FairBalance,R4: 4 (7),R0: 70 (2),R1: 0 (0),R0: 0 (1),R0: 0 (2),R0: 0 (1),R1: 0 (2),R0: 1 (5),R0: 0 (1)
german,FairBalanceClass,R1: 50 (4),R1: 59 (3),R1: 0 (0),R1: 3 (7),R1: 5 (10),R2: 4 (7),R2: 6 (8),R1: 6 (13),R1: 10 (9)
